molecule_chembl_id,molecule_name,canonical_smiles,target_chembl_id,target_name,action_type,mechanism_of_action,max_phase
CHEMBL149082,TRAMIPROSATE,NCCCS(=O)(=O)O,CHEMBL2487,Amyloid-beta precursor protein,STABILISER,Amyloid-beta A4 protein stabiliser,3
CHEMBL435381,CIMICOXIB,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1F,CHEMBL230,Prostaglandin G/H synthase 2,INHIBITOR,Cyclooxygenase-2 inhibitor,2
CHEMBL4297583,TEGOPRAZAN,Cc1nc2cc(C(=O)N(C)C)cc(O[C@H]3CCOc4cc(F)cc(F)c43)c2[nH]1,CHEMBL2095173,Potassium-transporting ATPase,BLOCKER,Potassium-transporting ATPase blocker,3
CHEMBL4297524,RADOTINIB,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cnccn5)n4)c3)cc(C(F)(F)F)c2)cn1,CHEMBL2096618,Bcr/Abl fusion protein,INHIBITOR,Bcr/Abl fusion protein inhibitor,3
CHEMBL4297442,OLITIGALTIN,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@H]2O)[C@H](O)[C@@H](n2cc(-c3cccc(F)c3)nn2)[C@H]1O,CHEMBL4531,Galectin-3,INHIBITOR,Galectin-3 inhibitor,2
CHEMBL4297323,PZ-128,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,CHEMBL3974,Proteinase-activated receptor 1,INHIBITOR,Proteinase-activated receptor 1 inhibitor,2
CHEMBL2179105,EDELINONTRINE,C[C@@H]1CN(Cc2ncccn2)C[C@H]1c1nc2c(cnn2C2CCOCC2)c(=O)[nH]1,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",INHIBITOR,Phosphodiesterase 9A inhibitor,2
CHEMBL225157,RESATORVID,CCOC(=O)C1=CCCC[C@H]1S(=O)(=O)Nc1ccc(F)cc1Cl,CHEMBL5255,Toll-like receptor 4,INHIBITOR,Toll-like receptor 4 inhibitor,3
CHEMBL3337527,JNJ-40411813,CCCCn1ccc(N2CCC(c3ccccc3)CC2)c(Cl)c1=O,CHEMBL5137,Metabotropic glutamate receptor 2,POSITIVE ALLOSTERIC MODULATOR,Metabotropic glutamate receptor 2 positive allosteric modulator,2
CHEMBL3590674,ABT-639,O=C(c1cc(S(=O)(=O)Nc2ccccc2F)c(F)cc1Cl)N1CCN2CCC[C@@H]2C1,CHEMBL1859,Voltage-dependent T-type calcium channel subunit alpha-1H,BLOCKER,Voltage-gated T-type calcium channel alpha-1H subunit blocker,2
CHEMBL517231,ISLATRAVIR,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,CHEMBL1681630,Reverse transcriptase,INHIBITOR,Reverse transcriptase inhibitor,3
CHEMBL4297530,SAROGLITAZAR,CCO[C@@H](Cc1ccc(OCCn2c(C)ccc2-c2ccc(SC)cc2)cc1)C(=O)O,CHEMBL239,Peroxisome proliferator-activated receptor alpha,AGONIST,Peroxisome proliferator-activated receptor alpha agonist,3
CHEMBL435128,CAPRAVIRINE,CC(C)c1nc(COC(N)=O)n(Cc2ccncc2)c1Sc1cc(Cl)cc(Cl)c1,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,2
CHEMBL1171754,JNJ-39220675,O=C(c1ccc(Oc2ccc(F)cc2)nc1)N1CCCN(C2CCC2)CC1,CHEMBL264,Histamine H3 receptor,ANTAGONIST,Histamine H3 receptor antagonist,2
CHEMBL3984425,EGANELISIB,C[C@H](NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3cnn(C)c3)c2c(=O)n1-c1ccccc1,CHEMBL3267,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",INHIBITOR,PI3-kinase p110-gamma subunit inhibitor,2
CHEMBL3900554,BMS-986142,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,CHEMBL5251,Tyrosine-protein kinase BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,2
CHEMBL160038,NEBICAPONE,O=C(Cc1ccccc1)c1cc(O)c(O)c([N+](=O)[O-])c1,CHEMBL2023,Catechol O-methyltransferase,INHIBITOR,Catechol O-methyltransferase inhibitor,2
CHEMBL20684,ABT-751,COc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(O)cc2)cc1,CHEMBL3832942,Tubulin beta,INHIBITOR,Tubulin beta inhibitor,2
CHEMBL4297598,LINRODOSTAT,C[C@@H](C(=O)Nc1ccc(Cl)cc1)C1CCC(c2ccnc3ccc(F)cc23)CC1,CHEMBL4685,"Indoleamine 2,3-dioxygenase 1",INHIBITOR,"Indoleamine 2,3-dioxygenase inhibitor",3
CHEMBL4594424,TZP-102,CC(C)C[C@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C2CC2)NC[C@@H](C)Oc2ccccc2CC[C@H](C)NC1=O,CHEMBL4616,Growth hormone secretagogue receptor type 1,AGONIST,Ghrelin receptor agonist,2
CHEMBL3306918,PRX-03140,CC(C)n1c(=O)c(C(=O)NCCCN2CCCCC2)c(O)c2ccsc21,CHEMBL1875,5-hydroxytryptamine receptor 4,PARTIAL AGONIST,Serotonin 4 (5-HT4) receptor partial agonist,2
CHEMBL3039503,LOMIBUVIR,CC(C)(C)C#Cc1cc(N(C(=O)[C@H]2CC[C@H](C)CC2)[C@H]2CC[C@H](O)CC2)c(C(=O)O)s1,CHEMBL4296320,RNA-directed RNA polymerase,NEGATIVE ALLOSTERIC MODULATOR,RNA-directed RNA polymerase negative allosteric modulator,2
CHEMBL4297504,BELORANIB,CO[C@@H]1[C@H](OC(=O)/C=C/c2ccc(OCCN(C)C)cc2)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C,CHEMBL3922,Methionine aminopeptidase 2,INHIBITOR,Methionine aminopeptidase 2 inhibitor,3
CHEMBL513922,EMAPUNIL,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,CHEMBL5742,Translocator protein,AGONIST,Translocator protein agonist,2
CHEMBL4066936,VERICIGUAT,COC(=O)Nc1c(N)nc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1N,CHEMBL2111348,Soluble guanylate cyclase,ACTIVATOR,Soluble guanylate cyclase activator,4
CHEMBL290194,ALIZAPRIDE,C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC,CHEMBL217,D(2) dopamine receptor,ANTAGONIST,Dopamine D2 receptor antagonist,3
CHEMBL3317856,GEPOTIDACIN,O=c1ccc2ncc(=O)n3c2n1C[C@H]3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,CHEMBL2311224,Bacterial DNA gyrase,INHIBITOR,Bacterial DNA gyrase inhibitor,3
CHEMBL4594442,IMARADENANT,Cc1cc(-c2nnc(N)nc2-c2ccc(F)cc2)cc(Cl)n1,CHEMBL251,Adenosine receptor A2a,ANTAGONIST,Adenosine A2a receptor antagonist,2
